recipe_name,date_published,url,ingredients,Keywords
Strawberry Margarita Cream Filled Donuts,2013-05-03T10:00:51+00:00,https://www.halfbakedharvest.com/strawberry-margarita-cream-filled-donuts/,"['milk', 'sugar', 'instant or active dry yeast', 'whole large eggs', 'stick unsalted butter', 'all-purpose flour', 'salt', 'whole milk', 'granulated sugar', 'cake flour', 'salt', 'large egg yolks', 'vanilla extract', 'lime', 'tequila', 'strawberry fruit spread or jam', 'cold heavy cream', 'stick butter', 'strawberries', 'strawberry fruit spread or jam', 'milk', 'tequila', 'vanilla extract', 'lime', 'powdered sugar', 'powdered suger', 'lime', 'tequila', 'salt for sprinkling']","['cinco de mayo', 'donut', 'doughnut', 'margarita', 'spring', 'strawberry', 'summer']"
Teriyaki Chicken Sub Sandwiches,2013-05-02T10:00:06+00:00,https://www.halfbakedharvest.com/teriyaki-chicken-sub-sandwiches/,"['boneless skinless chicken', 'red bell pepper', 'an onion', 'sesame oil', 'soy sauce or low-sodium soy sauce', 'dark brown sugar', 'honey', 'vinegar', 'pineapple juice', 'garlic', 'freshly grated ginger', 'water', 'cornstarch', 'whole grain baguette', 'swiss cheese', 'green onions']","['asian', 'Chicken', 'Chinese', 'dinner teriyaki', 'lunch', 'Poultry', 'subs']"
Tortilla Chip Crusted Chicken Salad with Avocado Chipotle Lime Dressing and Queso Fresco,2013-05-01T10:00:16+00:00,https://www.halfbakedharvest.com/tortilla-chip-crusted-chicken-salad-with-avocado-chipotle-lime-dressing-and-queso-fresco/,"['boneless', 'salt', 'pepper', 'egg whites', 'finely crushed tortilla chips crumbs', 'of butter lettuce', 'grape tomatoes', 'large mango', 'avocado', 'queso fresco cheese', 'blue tortilla chips', 'fresh cilantro', 'chipotles chilies adobo', 'apple cider vinegar', 'limes', 'olive oil', 'water', 'honey', 'smoked paprika', 'cumin', 'garlic', 'fresh cilantro', 'of an avocado', 'pinch of salt and pepper']","['avocado', 'Chicken', 'chipotle', 'cinco de mayo', 'Easy', 'Healthy', 'mango', 'Mexican', 'salad']"
Margarita Chicken Quesadilla with Margarita Guacamole,2013-04-29T10:00:14+00:00,https://www.halfbakedharvest.com/margarita-chicken-quesadilla-with-margarita-guacamole/,"['boneless skinless chicken breast or tenders', 'tequila', 'olive oil', 'lime juice', 'fresh orange juice', 'honey', 'garlic', 'Jalapeño', 'zest of 1 lime', 'salt', 'pepper', 'cumin', 'avocados', 'grape tomatoes', 'green onions', 'fresh cilantro', 'Jalapeño', 'zest of 1 lime', 'juice of 1 lime', 'fresh orange juice', 'tequila', 'salt', 'whole wheat flour tortillas', 'cooked white or brown rice', 'sharp white cheddar cheese', 'pepperjack cheese', 'pickled jalapeños', 'olive oil for toasting']","['avocado', 'Chicken', 'cinco de mayo', 'dinner', 'guacamole', 'Healthy', 'lunch', 'margarita', 'Poultry', 'rice']"
Crunchy Oatmeal Peanut Butter Oats &#8216;n Honey Bars,2013-04-28T10:00:28+00:00,https://www.halfbakedharvest.com/crunchy-oatmeal-peanut-butter-oats-n-honey-bars/,"['rolled oats', 'rice crispies cereal', 'roasted peanuts', 'salt', 'baking soda', 'honey', '+ 2 tablespoons peanut butter', 'coconut oil', 'vanilla extract', 'brown sugar']","['bars', 'crunchy', 'Healthy', 'nature valley', 'oatmeal', 'Peanut Butter', 'snacks']"
Brown Butter Crepe Ice Cream Tacos,2013-04-26T10:00:38+00:00,https://www.halfbakedharvest.com/brown-butter-crepe-ice-cream-tacos/,"['egg', 'milk', 'water', 'flour', 'butter', 'vanilla', 'salt', 'of your [favorite ice cream|https://www.halfbakedharvest.com/chocolate-peanut-butter-swirl-fudge-brownie-ice-cream/]', 'mik chocolate', 'coconut oil', 'sprinkles for topping']","['cinco de mayo', 'crepe', 'Dessert', 'frozen', 'ice cream', 'magic shell', 'spring', 'summer', 'tacos']"
Whipped Feta and Roasted Jalapeño Greek Pizza,2013-04-25T10:00:25+00:00,https://www.halfbakedharvest.com/whipped-feta-and-roasted-jalapeno-greek-pizza/,"['warm water', 'active dry yeast', 'honey', 'olive oil', 'all-purpose flour', 'kosher salt', 'feta cheese', 'light cream cheese', 'olive oil', 'lemon juiced', 'lemon zest', 'garlic', 'fresh basil', 'dried dill', 'pepper', 'red pepper', 'jalapeño peppers', 'chopped kalamata olives', 'freshly grated mozzarella cheese', 'crumbled feta cheese', 'grape tomatoes', 'pine nuts', 'fresh basil']","['feta cheese', 'greek', 'Jalapeño', 'pizza', 'roasted red pepper', 'vegetariane', 'whipped feta']"
Jerk Chicken with Fired Rice and Grilled Pineapple Salsa.,2013-04-24T10:00:28+00:00,https://www.halfbakedharvest.com/jerk-chicken-with-fired-rice-and-grilled-pineapple-salsa/,"['boneless skinless chicken breast', 'peanut oil', 'ketchup', '+ 1 tablespoon soy sauce', 'orange juice', 'vinegar', 'molasses', 'curry powder', 'cayenne pepper', 'freshly grated ginger', 'garlic', 'cooked white rice', 'orange pepper', 'banana pepper', 'soy sauce', 'pineapple', 'red onion', 'cherry tomatoes', 'jalapeño', 'garlic', 'freshly grated ginger.', 'lime', 'pinch of salt or to taste']","['Chicken', 'fried rice', 'Healthy', 'jamaican', 'jerk', 'pineapple', 'Poultry', 'salsa', 'spring. grill', 'summer']"
Chocolate Peanut Butter Swirl Fudge Brownie Ice Cream,2013-04-23T10:00:18+00:00,https://www.halfbakedharvest.com/chocolate-peanut-butter-swirl-fudge-brownie-ice-cream/,"['heavy cream', 'dark chocolate cocoa powder', 'milk chocolate', 'milk', 'sugar', 'pinch of salt', 'large egg yolks', 'vanilla', 'canola oil', 'butter', 'cocoa powder', 'eggs', 'sugar', 'vanilla', 'flour', 'salt', 'chocolate chips', 'creamy peanut butter', 'honey', 'vanilla']","['brownies', 'Chocolate', 'Dessert', 'ice cream', 'Peanut Butter', 'spring', 'summer']"
Cinnamon Crunch Bagels,2013-04-21T10:00:48+00:00,https://www.halfbakedharvest.com/cinnamon-crunch-bagels/,"['warm water', 'packets active dry yeast', 'honey', 'salt', 'cinnamon', 'bread flour', 'white whole wheat flour or pastry flour', 'white chocolate chips', 'brown sugar', 'brown sugar', 'sugar', 'cinnamon', 'butter']","['Bagels', 'bread', 'breakfast', 'cinnamon sugar', 'whole wheat']"
